Vendor,"Product Name",SKU,Qty,"Unit cost (CAD)","Shipping cost (CAD)","Total cost (CAD)","Unit cost (HKD)","Shipping cost (HKD)","Total cost (HKD)"
Stedi,"Stedi MS-72 Metallic Tungsten",MS-72,1,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-74 Metallic Black Iron",MS-74,3,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-75 Metallic Zirconium",MS-75,1,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi MS-76 Metallic Red Copper",MS-76,8,1.43,0.68,2.11,7.22,3.43,10.65
Stedi,"Stedi Anti-Static Brush (Soft, Small Head)",MS-82,1,1.78,0.85,2.63,8.99,4.29,13.28
Stedi,"Stedi Anti-Static Brush (Bristle, Large Head)",MS-83,3,2.16,1.03,3.19,10.91,5.20,16.11
Stedi,"Thin Sponge Sandpaper 20mm x 80mm 400-600 grit",MS-A1,1,1.75,0.83,2.58,8.84,4.19,13.03
Stedi,"Thin Sponge Sandpaper 20mm x 80mm 600-800 grit",MS-A2,2,1.75,0.83,2.58,8.84,4.19,13.03
Stedi,"Thin Sponge Sandpaper 20mm x 80mm 1000-1200 grit",MS-A3,1,1.75,0.83,2.58,8.84,4.19,13.03
Stedi,"2mm Sponge Sandpaper package 1000-1200 / 1200-1500 / 2000-2500",MS-AT2,5,2.63,1.25,3.88,13.28,6.31,19.59
Stedi,"Adhesive Sandpaper 20mm x 80mm 800 grit",MS-B800,2,1.27,0.60,1.87,6.41,3.03,9.44
Stedi,"Adhesive Sandpaper package 20mm x 80mm 1000 / 1200 / 1500 grit",MS-BT2,1,1.78,0.85,2.63,8.99,4.29,13.28
Stedi,"Carbon Fiber Sanding Board 20/15/5 x 80mm",MS-D2,3,2.03,0.97,3.00,10.25,4.90,15.15
Stedi,"Sanding stick 1200 grit x 3",MS-E1200,2,1.32,0.63,1.95,6.67,3.18,9.85
Stedi,"Sanding stick 1500 grit x 3",MS-E1500,1,1.32,0.63,1.95,6.67,3.18,9.85
Stedi,"Sanding stick 600 grit x 3",MS-E600,1,1.32,0.63,1.95,6.67,3.18,9.85
Stedi,"Aluminum Sanding Plate (Red) 3 different size",MS-JD3R,1,2.08,0.99,3.07,10.51,5.00,15.51
